Region,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Zurich,1981,0.11221572873306,9.71163646221899E-02,9.31699399113942E-02,8.99098499329108E-02,8.08159147297729E-02,8.49339231236466E-02,8.32180862928659E-02,8.30465026097878E-02,8.04727473636167E-02,9.12825193975354E-02,0.119079076056183,0.144130293785582
Suisse orientale,1981,0.070641848138495,6.62555895939479E-02,6.23310424751426E-02,0.056790505366241,5.58670825147575E-02,5.63287939404993E-02,0.054712803950403,5.35585253860485E-02,5.97916296335627E-02,7.59515295345256E-02,9.99605236730991E-02,0.126278074940382
Glaris,1981,1.63648265328388E-02,1.63648265328388E-02,2.72747108880646E-02,3.27296530656775E-02,2.18197687104517E-02,1.09098843552258E-02,0,2.72747108880646E-02,4.36395374209033E-02,2.18197687104517E-02,4.36395374209033E-02,4.36395374209033E-02
Schaffhouse,1981,0.120294575008069,0.149634715253939,0.137898659155591,0.117360560983482,0.10855851890972,0.143766687204765,0.117360560983482,0.12909661708183,0.146700701229352,0.170172813426048,0.299269430507878,0.372619781122554
Appenzell Rh.-Ext.,1981,4.56329287213653E-02,4.10696358492288E-02,5.01962215935019E-02,7.75759788263211E-02,5.01962215935019E-02,6.38861002099115E-02,7.75759788263211E-02,6.38861002099115E-02,6.38861002099115E-02,5.01962215935019E-02,7.75759788263211E-02,9.12658574427307E-02
Appenzell Rh.-Int.,1981,0,4.88838194557601E-02,0,0,0,4.88838194557601E-02,4.88838194557601E-02,3.25892129705068E-02,0,0,0,0
Saint-Gall,1981,7.93637851089621E-02,0.073384321847328,6.84920337241728E-02,5.76202823393835E-02,6.25125704625387E-02,6.14253953240597E-02,0.065230508308736,6.25125704625387E-02,7.06663840011307E-02,8.53432483705963E-02,9.83893500323435E-02,0.13263536689443
Grisons,1981,0.108692936208491,8.12073661327803E-02,8.74540866045326E-02,7.74593338497289E-02,6.62152370005747E-02,4.87244196796682E-02,2.99842582644112E-02,3.12336023587616E-02,3.87296669248645E-02,0.091202118887584,0.123685065340696,0.127433097623748
Thurgovie,1981,2.14205186020293E-02,2.36753100338219E-02,1.24013528748591E-02,1.69109357384442E-02,2.48027057497182E-02,2.70574971815107E-02,3.72040586245772E-02,3.04396843291996E-02,2.93122886133033E-02,2.93122886133033E-02,2.93122886133033E-02,5.18602029312289E-02
Suisse centrale,1981,0.129428708593375,0.105616898703793,8.75660105616899E-02,8.71819491118579E-02,8.21891502640422E-02,0.071435429668747,7.48919827172348E-02,0.08564570331253,8.37253960633701E-02,0.106769083053289,0.145559289486318,0.172059529524724
Lucerne,1981,0.173068252883259,0.149798571823325,0.122165825564653,0.11634840529967,0.109803807501563,9.45330793059818E-02,9.52602568391047E-02,0.104713564769703,0.10907662996844,0.131619133495252,0.182521560813857,0.242150118529938
Uri,1981,0.073711720163506,8.04127856329156E-02,9.38149165717349E-02,6.70106546940964E-02,4.02063928164578E-02,4.69074582858675E-02,3.35053273470482E-02,3.35053273470482E-02,5.36085237552771E-02,8.04127856329156E-02,6.70106546940964E-02,6.70106546940964E-02
Schwytz,1981,4.60981231478433E-02,3.51223795412139E-02,4.17078257051915E-02,4.17078257051915E-02,4.17078257051915E-02,3.51223795412139E-02,0.032927230819888,2.85369333772363E-02,2.41466359345846E-02,3.95126769838657E-02,5.26835693118209E-02,0.068049610361102
Obwald,1981,0.110412773908612,4.24664515033124E-02,5.09597418039749E-02,0.110412773908612,6.79463224052998E-02,6.79463224052998E-02,9.34261933072872E-02,6.79463224052998E-02,0.10191948360795,7.64396127059623E-02,0.110412773908612,0.10191948360795
Nidwald,1981,0.131887456037515,5.12895662368113E-02,2.93083235638921E-02,2.93083235638921E-02,6.59437280187573E-02,5.12895662368113E-02,9.52520515826495E-02,6.59437280187573E-02,8.05978898007034E-02,0.146541617819461,0.190504103165299,0.153868698710434
Zoug,1981,9.74105040993587E-02,7.84695727467056E-02,4.59994047135861E-02,5.68227940579593E-02,5.68227940579593E-02,4.87052520496794E-02,0.054116946721866,0.119057282788105,7.03520307384257E-02,0.102822198771545,0.148821603485131,0.110939740779825
Tessin,1981,0.812307370840516,0.732208466105974,0.576363857981159,0.498876874053179,0.481464068676104,0.47798150760069,0.484075989482666,0.531090564000766,0.587682181476258,0.617283950617284,0.699994776158387,0.713925020460046
Région lémanique,1980,0.986737755920328,0.642916393284351,0.475833003304232,0.40233995558892,0.354658139108744,0.292987029363724,0.273480831712743,0.271707541017199,0.273874896311752,0.285105737383529,0.305597096532034,0.384804080932987
Vaud,1980,0.339565420786888,0.277459631236792,0.242373892984465,0.20890129212305,0.169379426045716,0.14558564952977,0.145182365182043,0.158894033004791,0.159700601700247,0.172605700827539,0.183091093868465,0.200029036473036
Valais,1980,2.76957163958641,1.06194888321919,0.383823463587127,0.163376751264491,0.134282261313281,5.70699610581442E-02,0.076093281410859,6.04270175909762E-02,8.16883756322457E-02,0.125330110559062,0.177923996240097,0.529295913343181
Genève,1980,0.993519503181495,0.955329812047966,0.864262087037244,0.80962145203081,0.740292474280712,0.631598737977591,0.564032361356733,0.546993883774082,0.541118546676616,0.532893074740163,0.551106619742308,0.578133170390651
Espace Mittelland,1980,0.267814273725502,0.211503908401806,0.182804664239246,0.164986650090926,0.149480897320633,0.133023036924094,0.128670544918398,0.129758667919822,0.118605407155225,0.128262498792864,0.144992389939759,0.16403454246468
Berne,1980,0.220648116138403,0.163339930348513,0.140834286536289,0.121344863028796,0.114384354633262,9.97672870026427E-02,9.30387955536272E-02,9.39668633396983E-02,8.63103041046118E-02,9.09506430349673E-02,0.110904100435496,0.126449235852187
Fribourg,1980,0.296660343005564,0.225360003055729,0.175704409162094,0.190983053437058,0.170611527737105,0.175704409162094,0.184616951655823,0.178250849874588,0.146420340968411,0.128595255980953,0.152786442749647,0.178250849874588
Soleure,1980,0.213911564936786,0.182830397381869,0.163633205656773,0.156319989761498,0.149006773866223,0.141693557970948,0.13895110201022,0.116097302337487,0.115183150350577,0.117011454324396,0.117011454324396,0.144436013931676
Neuchâtel,1980,0.455801265985102,0.37420001632025,0.334565123625893,0.307753284450299,0.243638016856487,0.202837392024061,0.184185677814952,0.222654838371239,0.209831784852477,0.240140820442279,0.279775713136635,0.270449856032081
Jura,1980,0.524710589315581,0.501754501033024,0.436165677368576,0.34434132423835,0.327944118322238,0.265634735841013,0.295149706490014,0.298429147673236,0.259075853474568,0.380415177253796,0.327944118322238,0.429606795002132
Suisse du Nord-Ouest,1980,0.313487709030885,0.282772009791508,0.2675313956651,0.257683614229575,0.22790579893644,0.20891364902507,0.188514673194339,0.167881226377048,0.173274059067931,0.186169963328738,0.224623205124598,0.249242658713411
Bâle-Ville,1980,0.668371977885964,0.595758725967489,0.570179057678026,0.554501196468356,0.513243666969222,0.458783728030366,0.409274692631405,0.359765657232445,0.377093819622081,0.418351349121215,0.495915504579586,0.543774238798581
Bâle-Campagne,1980,0.288385554038937,0.281201572265725,0.259649626946089,0.248360512731042,0.213466886975441,0.210388037644065,0.202177772760394,0.172415562557087,0.176520694998922,0.199098923429017,0.25041307895196,0.276070156713431
Argovie,1980,0.118347180594911,0.101028080995656,9.47739616959247E-02,0.089000928496173,6.83142261970625E-02,6.25411929973107E-02,5.34005570977038E-02,5.38816431976831E-02,5.29194709977245E-02,4.47410072980761E-02,5.43627292976624E-02,6.49466234972073E-02
Zurich,1980,0.185322593942783,0.161843619274984,0.151627576862277,0.13155394966538,0.119366390295835,0.103415025826872,9.82173902133898E-02,9.75004749563578E-02,8.60298308438451E-02,0.084416771515523,9.15859240858434E-02,0.107537288554806
Suisse orientale,1980,0.110777021680646,7.88902457171336E-02,6.54269403103174E-02,6.44821469484355E-02,4.55862797107987E-02,4.79482631155033E-02,4.58224780512692E-02,3.99175195395077E-02,4.20433046037419E-02,0.044169089667976,6.73165270340811E-02,6.51907419698469E-02
Glaris,1980,4.78113047173821E-02,4.24989375265618E-02,4.24989375265618E-02,3.18742031449214E-02,2.65618359541011E-02,4.78113047173821E-02,3.71865703357416E-02,3.18742031449214E-02,2.65618359541011E-02,1.06247343816405E-02,1.59371015724607E-02,2.65618359541011E-02
Schaffhouse,1980,0.216709438266324,0.173937838608497,0.122611919019105,0.102651839178785,8.26917593384659E-02,9.40975192472198E-02,9.12460792700314E-02,0.071285999429712,8.26917593384659E-02,9.69489592244083E-02,8.26917593384659E-02,9.69489592244083E-02
Appenzell Rh.-Ext.,1980,8.78541620909291E-02,3.51416648363716E-02,3.95343729409181E-02,4.39270810454645E-02,3.51416648363716E-02,3.07489567318252E-02,2.19635405227323E-02,1.31781243136394E-02,0.048319789150011,3.07489567318252E-02,5.71052053591039E-02,6.58906215681968E-02
Appenzell Rh.-Int.,1980,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Gall,1980,9.48311384816857E-02,7.56391223603922E-02,6.88654696117004E-02,7.33812381108283E-02,5.53181641143167E-02,5.75760483638806E-02,5.53181641143167E-02,5.36247509271437E-02,4.79800403032338E-02,5.02379245527978E-02,6.49141721749635E-02,7.45101802356102E-02
Grisons,1980,0.242235374220919,0.141413083328969,0.10082229089195,0.102131671293144,5.63033572513487E-02,5.76127376525428E-02,5.49939768501545E-02,0.041900172838213,4.71376944429896E-02,6.28502592573194E-02,0.150578746137328,9.95129104907558E-02
Thurgovie,1980,1.26761699528677E-02,0.017285686299365,0.020742823559238,1.49809281261164E-02,1.15237908662434E-02,9.21903269299469E-03,1.15237908662434E-02,9.21903269299469E-03,0.013828549039492,8.06665360637035E-03,1.15237908662434E-02,1.61333072127407E-02
Suisse centrale,1980,0.154026636058268,0.137568995493138,0.120689364144287,0.110139594551255,0.087774083014027,9.24159816349611E-02,7.46923687186672E-02,8.98840369326334E-02,0.07891227655588,8.14442212582077E-02,0.110561585334976,0.119845382576845
Lucerne,1980,0.206219261657225,0.18909917201021,0.162640851646641,0.149411691464857,0.122953371101289,0.132291601817842,0.10661146734732,0.125287928780427,0.107389653240366,0.115949698063874,0.154080806823134,0.163419037539687
Uri,1980,6.30870601429973E-02,4.20580400953316E-02,7.71064068414412E-02,5.60773867937754E-02,2.80386933968877E-02,3.50483667461096E-02,4.90677134445535E-02,7.71064068414412E-02,6.30870601429973E-02,5.60773867937754E-02,7.00967334922193E-02,3.50483667461096E-02
Schwytz,1980,5.34201005269164E-02,5.82764733020907E-02,4.85637277517422E-02,4.85637277517422E-02,2.67100502634582E-02,3.88509822013938E-02,0.021853677488284,4.12791685889809E-02,3.64227958138067E-02,2.91382366510453E-02,5.09919141393293E-02,8.01301507903747E-02
Obwald,1980,0.179533213644524,0.122838514598885,7.55929320608523E-02,0.103940281583672,5.66946990456392E-02,3.77964660304262E-02,0,4.72455825380327E-02,5.66946990456392E-02,6.61438155532458E-02,7.55929320608523E-02,7.55929320608523E-02
Nidwald,1980,0.149109727216911,7.01692833961933E-02,0.122796245943338,7.01692833961933E-02,4.38558021226208E-02,8.77116042452416E-03,2.63134812735725E-02,1.75423208490483E-02,2.63134812735725E-02,2.63134812735725E-02,7.01692833961933E-02,0.052626962547145
Zoug,1980,0.106331561140648,0.103109392621234,7.73320444659256E-02,7.08877074270984E-02,7.73320444659256E-02,0.074109875946512,6.76655389076849E-02,5.47768648300306E-02,0.051554696310617,4.51103592717899E-02,5.47768648300306E-02,7.08877074270984E-02
Tessin,1980,1.09836307874219,0.976425377822119,0.833240956287182,0.758415548904408,0.708531943982559,0.624468831984628,0.60691719321583,0.654029486753132,0.728854894135905,0.706684403059528,0.839707349517792,0.834164726748697
Région lémanique,1979,1.25785420003901,0.85906082584118,0.647842200771973,0.576319476051709,0.542823985135883,0.476621132502251,0.454356482658202,0.449627707470086,0.452780224262163,0.463419968435426,0.503614557534417,0.57474321765567
Vaud,1979,0.591618138116823,0.499266022487135,0.439579939023407,0.375457727734671,0.332709586875514,0.276249778193609,0.250036295591295,0.252859286025391,0.26253811037086,0.258908551241309,0.283508896452711,0.291171299059541
Valais,1979,3.5405756232935,1.49836623248736,0.590841949778434,0.345776822881697,0.261850409560897,0.156662638198827,0.126449129403339,0.114139922116288,0.130925204780449,0.177923996240097,0.339062709816033,0.726243229935992
Genève,1979,1.02994659318578,1.04757260447818,0.981181295276816,0.989994300923015,0.996457171730228,0.936528733336075,0.924190525431397,0.912439851236465,0.898926575912293,0.911264783816972,0.910677250107225,0.908327115268238
Espace Mittelland,1979,0.558071084355376,0.50924156466647,0.401789418275842,0.372138066487036,0.363841128601177,0.314603562786737,0.280599718992235,0.259245305089287,0.233810429930999,0.219936861662842,0.23789089118634,0.250268290327539
Berne,1979,0.38978847014986,0.33874474191595,0.276332183302668,0.287468996735522,0.280276471393471,0.224360387282687,0.20742315018689,0.186309608053772,0.16566009981369,0.157771523632086,0.183989438588595,0.194430201181894
Fribourg,1979,0.98165289466648,0.954915267185292,0.440534243261481,0.381966106874117,0.336130174049223,0.295387122649317,0.226633223411976,0.196075934862047,0.165518646312117,0.179524070230835,0.236818986261952,0.259736952674399
Soleure,1979,0.371145706685193,0.366574946750647,0.316296587470633,0.32086734740518,0.338236235156457,0.310811675549177,0.284301267928806,0.233108756661883,0.229452148714245,0.213911564936786,0.219396476858242,0.245906884478613
Neuchâtel,1979,0.76588601471154,0.768217478987678,0.69710781856545,0.652809997318816,0.624832426005153,0.61200937248639,0.574705944068172,0.568877283377826,0.514087872888568,0.468624319503864,0.432486623223716,0.426657962533369
Jura,1979,1.93159085691798,1.55445512084741,1.55117567966419,0.9379201784016,0.973994031417046,0.816580854622372,0.613255501262585,0.67556488374381,0.600137736529695,0.524710589315581,0.521431148132358,0.534548912865248
Suisse du Nord-Ouest,1979,0.510677808727948,0.483713645273534,0.451591120114797,0.467066205227765,0.445025932491114,0.390394192622605,0.353113305759545,0.321928664547049,0.287930371495831,0.292385320240473,0.301764159702878,0.301295217729758
Bâle-Ville,1979,0.951398630250021,0.927469263140523,0.867233270071788,0.892812938361251,0.894463239541216,0.77811700635366,0.666721676705999,0.580906015347801,0.552025744698407,0.556976648238304,0.561102401188217,0.604010231867316
Bâle-Campagne,1979,0.603454468949804,0.560350578310533,0.51827297078172,0.584981372961545,0.529562084996767,0.489537043688872,0.467985098369236,0.456695984154189,0.385882449532528,0.371514485986104,0.371514485986104,0.341752275782797
Argovie,1979,0.21023462569096,0.18906683729187,0.178001856992346,0.163569273992967,0.143363657793835,0.117866094494932,0.116422836194994,0.107763286395366,8.80387562962143E-02,0.101028080995656,0.117866094494932,0.105838941995449
Zurich,1979,0.293756026568879,0.268305534944242,0.249665738261409,0.238195094148896,0.213640746595549,0.186397966828331,0.181021102400591,0.170984288802142,0.156645983661501,0.156466754847243,0.165607424374402,0.179945729515043
Suisse orientale,1979,0.163685449946029,0.149985946198742,0.131562475642046,0.120697351980405,0.108887434956882,9.23535511239498E-02,8.03074357599564E-02,8.00712374194859E-02,6.09391718413786E-02,7.60558656314881E-02,9.32983444858316E-02,9.49517328691249E-02
Glaris,1979,5.84360390990225E-02,0.069060773480663,6.37484062898428E-02,6.37484062898428E-02,5.84360390990225E-02,5.31236719082023E-02,4.24989375265618E-02,4.24989375265618E-02,1.06247343816405E-02,2.12494687632809E-02,5.31236719082023E-02,4.78113047173821E-02
Schaffhouse,1979,0.313658397490733,0.273738237810094,0.273738237810094,0.222412318220701,0.182492158540063,0.139720558882236,0.136869118905047,0.108354719133162,7.98403193612774E-02,0.111206159110351,0.171086398631309,0.185343598517251
Appenzell Rh.-Ext.,1979,0.131781243136394,0.131781243136394,0.109817702613661,0.140566659345487,0.105424994509115,0.122995826927301,0.105424994509115,8.78541620909291E-02,5.71052053591039E-02,6.58906215681968E-02,8.78541620909291E-02,7.90687458818362E-02
Appenzell Rh.-Int.,1979,0.140449438202247,0.031210986267166,4.68164794007491E-02,0.031210986267166,4.68164794007491E-02,0,0.015605493133583,0,0,0,0.015605493133583,0.015605493133583
Saint-Gall,1979,0.190226748025762,0.174421558278815,0.150713773658393,0.14902036047122,0.132086228599491,0.113458683540588,9.93469069808136E-02,0.101040320167987,0.081848304046693,9.31377252945128E-02,0.100475849105596,0.101040320167987
